procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 137836  14748 280660    0    0  6081     0  404 1074  3 16 81  0  0
11  0      0  58168  14748 280648    0    0     0     0  448 2944 22  1 77  0  0
 0  0      0  58168  14748 280648    0    0     0     0  564 2344 66  2 32  0  0
 0  0      0  58168  14748 280648    0    0     0     0  295 1449  2  2 96  0  0
 0  0      0  58144  14748 280648    0    0     0     0  317 1504  1  1 98  0  0
 0  0      0  58168  14748 280648    0    0     0     0  273  371  3  0 97  0  0
 0  0      0  57664  14748 280656    0    0     0     0  272  833  2  1 97  0  0
 0  0      0  57664  14748 280656    0    0     0     0  254  136  0  0 100  0  0
 0  0      0  57664  14748 280656    0    0     0     0  326  682  1  0 99  0  0
 1  0      0  57664  14748 280656    0    0     0     0  252  142  1  1 98  0  0
 0  0      0  57664  14748 280656    0    0     0     0  255  142  1  0 99  0  0
 0  0      0  57664  14748 280656    0    0     0     0  252  143  1  0 99  0  0
10  0      0  57664  14748 280656    0    0     0     0  284  241 39  1 60  0  0
 0  0      0  57664  14748 280656    0    0     0     0  268  222 33  0 67  0  0
 0  0      0  57664  14748 280656    0    0     0     0  254  147  1  0 99  0  0
 0  0      0  57664  14748 280656    0    0     0     0  253  140  0  0 100  0  0
 0  0      0  57664  14748 280656    0    0     0     0  256  185  0  0 100  0  0
 2  1      0  57664  14824 280840    0    0   210     0  259  167  1  2 97  0  0
 0  0      0  53820  15452 283748    0    0  2099     0  309  491  2  9 85  3  0
 0  0      0  53820  15452 283748    0    0     0     0  252  143  1  0 99  0  0
 0  0      0  53820  15452 283748    0    0     0     0  254  143  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283748    0    0     0     0  252  140  1  0 99  0  0
 0  0      0  53820  15452 283748    0    0     0     0  255  148  2  0 98  0  0
 0  0      0  53820  15452 283748    0    0     0     0  293  314 69  1 30  0  0
 0  0      0  53820  15452 283748    0    0     0     0  255  139  1  0 99  0  0
 0  0      0  53820  15452 283748    0    0     0     0  252  141  0  1 99  0  0
 0  0      0  53820  15452 283748    0    0     0     0  492 1561  1  0 99  0  0
 0  0      0  53796  15452 283748    0    0     0     0  370 2121  2  1 97  0  0
 0  0      0  53820  15452 283748    0    0     0     0  255  143  1  1 98  0  0
 0  0      0  53820  15452 283748    0    0     0     0  253  140  1  0 99  0  0
 0  0      0  53820  15452 283748    0    0     0     0  258  144  2  0 98  0  0
 0  0      0  53820  15452 283748    0    0     0     0  252  135  1  1 98  0  0
 0  0      0  53820  15452 283748    0    0     0     0  254  147  1  1 98  0  0
10  0      0  53820  15452 283748    0    0     0     0  264  157  8  0 92  0  0
 0  0      0  53820  15452 283748    0    0     0     0  283  302 66  0 34  0  0
 0  0      0  53820  15452 283748    0    0     0     0  253  133  2  0 98  0  0
 0  0      0  53820  15452 283748    0    0     0     0  255  148  0  0 100  0  0
 0  0      0  53820  15452 283748    0    0     0     0  253  140  2  0 98  0  0
 0  0      0  53820  15452 283748    0    0     0     0  253  148  0  0 100  0  0
 0  0      0  53820  15452 283748    0    0     0     0  251  137  1  0 99  0  0
 0  0      0  53820  15452 283748    0    0     0     0  254  147  0  1 99  0  0
 0  0      0  53820  15452 283748    0    0     0     0  254  142  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283748    0    0     0     0  256  148  2  0 98  0  0
 0  0      0  53820  15452 283748    0    0     0     0  254  142  0  0 100  0  0
 9  0      0  53820  15452 283748    0    0     0     0  289  245 45  0 55  0  0
 0  0      0  53820  15452 283752    0    0     0     0  266  208 28  1 71  0  0
 0  0      0  53820  15452 283752    0    0     0     0  250  145  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  141  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  144  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  142  0  0 100  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  148  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  138  0  0 100  0  0
 0  0      0  53820  15452 283752    0    0     0     0  256  143  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  137  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  249  154  9  1 90  0  0
 0  0      0  53820  15452 283752    0    0     0     0  291  298 63  0 37  0  0
 0  0      0  53820  15452 283752    0    0     0     0  255  139  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  253  148  1  1 98  0  0
 1  0      0  53820  15452 283752    0    0     0     0  255  145  0  1 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  251  136  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  148  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  137  1  1 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  151  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283752    0    0     0     0  252  138  1  1 98  0  0
 1  0      0  53820  15452 283752    0    0     0     0  255  144  2  0 98  0  0
 9  0      0  53820  15452 283752    0    0     0     0  267  181 27  0 73  0  0
 0  0      0  53820  15452 283752    0    0     0     0  276  251 46  0 54  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  136  0  0 100  0  0
 0  0      0  53820  15452 283752    0    0     0     0  255  145  1  1 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  253  140  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  255  147  0  1 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  144  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  255  144  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  253  141  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  256  146  1  0 98  1  0
 0  0      0  53820  15452 283752    0    0     0     0  256  136 10  0 90  0  0
 9  0      0  53820  15452 283752    0    0     0     0  286  294 62  0 38  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  152  5  0 95  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  147  1  1 98  0  0
 1  0      0  53820  15452 283752    0    0     0     0  253  138  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  255  144  1  1 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  139  0  0 100  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  147  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  140  1  0 99  0  0
